joke
แดดร้อนที่แยงตา ไม่เท่าเธอยิ้มมาแล้วแยงใจ
ใช่ฉันมันคนหลายใจ … แต่รู้ไหมทุกใจมีแต่เธอคนเดียว
โอ๊ย !! เจ็บคออ่ะ … ก็ความรักมันค้ำคอ
โอ๊ย !! เจ็บคออ่ะ … ก็ความรักมันค้ำคอ
หน้าอย่างคุณน่าจะเป็นเด็กช่างนะ ช่างน่ารักอะไรเช่นนี้
โอ๊ย !! เราเดินตกหลุมอ่ะ … ตกหลุมรัก
เธอมีเข็มกะด้ายไหม เอามาเย็บใจน่ะสิ เห็นหน้าเธอ แล้วใจจะขาด
เธอน่าขึงจังเลย … ขึงทิด-คิดถึง
หัวใจเราหายอ่ะ ไม่รู้ว่าลืมไว้ที่เธอป่าว
ดูท้องฟ้าสิเล็กจัง เขียนคำว่า รักเธอ ยังไม่พอเลยอ่ะ
ทำยังไงดีเราลืม ลืมเธอไม่ได้
หิวจังกะว่าจะสั่งพิซซ่า หน้าความรัก
หิวจังกะว่าจะสั่งสลัดผัก ความคิดถึง
หิวจังกะว่าจะสั่งเฟรนช์ฟราย ความคำนึง
หิวจังกะว่าจะสั่งคิดถึง & ห่วงใย
นี่รู้ป่ะ? เธอเป็นคนโลภมาก ก็เธอเล่นเอาหัวใจเราไปทั้ง 4 ห้องเลย
นี่ๆ ช่วยอะไรหน่อยได้มะช่วยเดินไปตรงกระจกแล้วบอกคนนั้นว่าเราคิดถึง
เหนื่อยมั้ยที่มาเดินเล่นในใจผม
ถึงน้ำเน่าแต่ยังเห็นเงาจันทร์นะ
เสี่ยวนักเพราะรักเธอ
เบลอว่ารักแถบ-แบบว่ารักเธอ
 รู้เปล่าว่าเที่ยวทะเลตอนไหนสวยที่สุดก็ตอนที่มีเธออยู่ด้วยไง
นี่ๆ หันไปทางซ้ายหน่อยสิอยากให้ใจมันตรงกันหน่อยอะ
นี่ๆๆ เราว่าเธอโดนแล้วนะก้อโดนเรารักแล้วไง
ทำไมวันนี้เรามองเธอเราเจ็บตาจัง ก็เธอสวยเตะตางัย
เก็บปากกาให้หน่อยดิ แล้วอย่าลืมเก็บหัวใจเราที่ตกอยู่ข้างๆ ปากกาด้วยนะ
ถ้าผมต้องออกไปนอกโลกผมจะเอารองเท้า ไปวิ่งในหัวใจเธอ
ถ้าผมต้องออกไปนอกโลกผมจะเอากล่อง ไว้เก็บใจของเธอ
ถ้าผมต้องออกไปนอกโลกผมจะเอาเชือก  ไต่ขึ้นมาจากหลุมอวกาศที่เธอขุดไว้
ถ้าผมต้องออกไปนอกโลกผมจะเอา พลาสเตอร์ แปะแผลใจ
ถ้าผมต้องออกไปนอกโลกผมจะเอาหมอน ฝันถึงเธอ
อย่าอย่าอย่า อย่าทำให้ฉัน รักเทอ
ช่วยยกขาหน่อยได้ไหมช่วยยกขาหน่อยได้ไหม
อากาศตอนนี้ร้อนไหมสงสัยเราให้ความอบอุ่นเธอมากเกินไป
เธอเป็นโรคหัวใจรั่วรึป่าวก็เราใช้ความรักเติมเท่าไหร่ก็ไม่เต็มสักที
ชั้นไหนคะชั้นรักเธอ
ชอบคุณครับขอโทษทีครับ พิมพ์เร็วไปหน่อย
ชอบคุณครับ ขอโทษทีครับ ผมพิมพ์เร็วไปหน่อย แต่ไม่ได้บอกว่าพิมพ์ผิดนะครับ
ชื่อแบบนี้ไม่เอามาตั้งชื่อลูกแน่ๆเดี๋ยวซ้ำกับชื่อพ่อ
"ผมไม่รู้ทำไมผู้หญิงหลายคนถึงชอบ ""คุณพิศุทธิ์""แต่ผมรู้อย่างเดียวคือผมชอบคุณเป็น ""พิเศษ"""
เหนื่อยไหมคะวันนี้มาวิ่งเล่นในหัวใจเค้าทั้งวันเลยพักบ้างก็ได้นะ
"วันที่ผมจะยอมคุกเข่าให้ ""ผู้หญิงคนอื่น"" นอกจากคุณคือ วันที่ผมผูกเชือกรองเท้าให้ ""ลูกสาวของเรา"""
แม่ค้าครับลดหน่อยได้ใหม ลดความน่ารักลงหน่อยได้ไหม
อยากจะเขียนคำว่ารักตัวเท่าบ้าน คงต้องหากระดานแผ่นใหญ่ๆอันสมุดเล่มนี้มันเล็กไป คงต้องเอาหัวใจมาเขียนแทน
ไม่ได้คิดถึงเธอทุกนาที แต่คิดถึงเธอตลอดที่มีลมหายใจ
ถ้าพรุ่งนี้ผมตายไปก็คงไม่แปลกเพราะชีวิตผมที่เกิดมามีหน้าที่เพียงแค่มาพบคุณในวันนี้เท่านั้นเอง
เผอิญผมมันพวกคนใจแคบน่ะครับในนั้นเลยมีที่ว่างให้คุณได้เพียงคนเดียว
เมื่อคืนที่บ้านไฟดับ แต่ผมไม่ต้องใช้ไฟฉาย หรือเทียนเลยครับ เพราะแค่นึกถึงคุณ โลกของผมก็สว่างไสวไปหมดแล้ว
ไม่สบายไป เอ็กซ์สเรย์ หัวใจมา หมอบอกว่าข้างในหัวใจมีแต่เธอ
อาจจะไม่หล่อเหมือนกัปตันยูเเต่ถ้าได้ลองคบดู … ไอจะไม่ทำให้ยูนั้นเสียใจนะครับ
เธอๆ ที่บ้านมีต้นไม้ป่ะ ตัดทิ้งไปเหอะ จะได้มาเริ่มต้นใหม่กะเราไง
"เธอรู้ป่าวทำไมใบไม่ถึงหล่นเพราะเรา ""เด็ด!"""
ลำโพงพังมันยังดี แต่ลำพังบางทีมันก็เหงา
ผมทำให้คุณได้ทุกอย่าง ยกเว้นแค่เหาะขึ้นไปบนฟ้า กับการไม่รักคุณ
อยากรู้มั้ย ฉันรักใคร ส่องกระจกสิ จะได้คำตอบ
คิดถึงเธอวันละครั้ง … ครั้งละ 24 ชั่วโมง
ปวดหลังร้าวมาที่หัวใจ เคลื่อนไปยังกระเพาะ เลาะมาทางลำไส้ย้ายไปที่ม้าม ลุกมามมาถึงถุงน้ำดี อยู่ดีๆ หาหยุดอยู่ที่เธอ 
เดือนหน้า “กรกฎา” แล้วเธอล่ะ “กะรัก” หรือ “กะลา” 
ความรักให้ได้ครั้งละคน แต่กับบางคน…ความรักให้ได้คนละหลายครั้ง
ก็ ” จีบ ” อยู่ดีๆ สระ “อี” ก็หายไป
เขียนเสือให้วัวกลัว ไม่น่ากลัวเท่า เขียนคำว่า ”เพื่อน” ให้ฉันกลัวความรักไปอีกนาน
เธออาจไม่ใช่รักแรกพบ แต่ตอนจบขอให้เป็นเธอ
บางทีหนังที่ดูน่ะไม่สนุก แต่มีความสุขเพราะ “คนข้างๆ”
” พรหมลิขิต ” อาจจะยังไม่รู้… ” พิกัด ” ของเราสองคน
ไม่อยากเป็น “คนรักเธอข้างเดียว” แต่อยากเป็น “คนรักเดียวข้างเธอ”
มองหน้าเฉยๆ ระวังเป็นเขยแม่เรานะ
มองหน้าบ่อยๆ เดี๋ยวก็อ่อยใส่เลย
มาหาหน่อย หิวข้าว
ชอบให้เธออวบลงพุงนิดๆ เพราะชีวิตเธอจะมี ”ชั้น”อยู่เสมอ
ตัดปัญหาเรื่องการคมนาคม เปลี่ยนจากสถานีรถไฟฟ้าพร้อมพงษ์ เป็นสถานีไหนก็ได้ที่ลงพร้อมเธอ
นิยามความรักจะไม่มีความหมาย ถ้าไม่มีเธอ
นี่ถ้าไม่ติดว่าโสดนะ จะจีบเธอไปแล้ว
ในยามที่เหงาก็มีเธอเสมอ
บันไดมีหลายขั้น แต่เราไม่ได้มีหลายใจนะ
มาหาหน่อยสิวันนี้ รู้สึกเป็นไข้ “ไข้เธอไม่ดาด” “ขาดเธอไม่ได้”
มุกเสี่ยวคิดไม่ทัน คิดถึงเธอก่อนแล้วกันมันง่ายดี
เมื่อคืนฝันว่าเราแต่งงานกัน
แม่เธอรู้ไหม ว่าฉันชอบเธอ
ลูกก็ยังไม่มี จะมีแฟนได้ไง
เลิกน่ารักได้แล้ว ขี้เกียจยิ้มตาม
ว่ายน้ำต้องไปที่สระ ไหว้แม่เธอล่ะต้องไปที่ไหน
สรุปจะให้เป็นแฟนเลยไหมอะ
หน้ากากอะต้านไวรัส แต่เราอะต้านเธอไม่ไหว
หาคนจริงใจ ยากกว่าหาของกินอีก
เห็นงานเดินหนี เห็นเธอคนดี วิ่งใส่
เห็นป่า เห็นเขา เห็นใจเราบ้างหรือยัง
อยากเป็นน้องหมา ให้เธอขอมือ
อย่าลืมใส่หน้ากากนะ เป็นห่วง
อะไรจะแพงก็แพงไปเถอะ ขอให้เธอถูกใจเราก็พอ
อาหารมีไว้ทาน แต่เธอมีไว้รัก
ถ้าความคิดถึงมันมีขา ก็คงเดินไปหาเธอทุกวัน
ถ้าชอบอะไรที่น่ารักๆ ก็ต้องชอบเราแล้วล่ะ
ถ้าเป็นโสดแล้วเหงา งั้นมาเป็นของเรากันเถอะ
ถ้ามีแฟนแล้วไม่ต้องมาทักนะ
ถ้ายังไม่มีแฟน มาเดินควงแขนกันดีปะ
ที่นี่ที่ไหน ใช่ “ที่รัก” หรือเปล่าครับ
ที่บอกเราไม่เด็ด เธอกินเผ็ดไม่เป็นหรือเปล่า
ที่บ้านเธอมีแก้วกี่ใบ เราจะได้เทใจให้หมดเลย
ที่บ้านไม่มีเก้าอี้หรือยังไง ถึงมานั่งในใจเราตลอด
รักหมดใจ แต่ทำไมมีใจให้นิดเดียว
รับรักหน่อย จีบมาหลายวันแล้วนะ
ที่ใส่เสื้อรัดๆ อยากให้รู้ว่า “ชอบคับ” ยังไงล่ะ
ที่ห้องไม่มีแมว แต่อ้อนเก่งนะ
ที่อยากกินอะ “หวานเย็น” แต่ที่อยากเป็นอะ “หวานใจ”
ไม่ได้อยากกินหญ้าอ่อน แต่ดันเกิดก่อนอะทำไง
ไม่ได้อยากเป็นคนแรก แต่อยากเป็นคนรัก
ไม่ต้องเป็นทุกอย่างก็ได้ เป็นแค่รอยยิ้มให้กันก็พอ
ไม่อยากได้คนไลค์ แต่อยากได้คนรัก
เราแอบชอบเธอตั้งแต่ครั้งแรกที่เจอกันแล้วแหละ
ยินดีเสมอ ถ้าเธอเปิดใจ
ยืมโทรศัพท์หน่อยได้ไหม สงสัยจะเสีย มันไม่มีเบอร์เธอ
ช่วงนี้ดูแลตัวเองด้วยนะ ไม่อยากให้เป็นอะไรเลย นอกจากเป็นแฟนกันไหม
ชวนกินข้าวจะได้ไหม
ชีวิตมันสั้น รีบมาเป็นชายในฝันเราเถอะ
แดดร้อนแยงตา แต่ไม่เท่าเธอมองมาแล้วแยงใจ
ได้ข่าวว่าเป็นเด็กช่าง มาซ่อมใจพังๆ เราหน่อยได้ไหม
ตรวจเลือดไม่เจออะไร แต่ตรวจหัวใจทำไมเจอเธอ
ต้องให้ถึงขั้นขโมยเงินเธอใช่ไหม ถึงจะได้รู้ว่า “ลัก” จริง
ถ้าเขาปิดใจ อยากให้รู้ว่าห้องเราเปิดอยู่ตลอด
คนข้างๆ ไม่มี คนดีๆ ไม่มา
คิดถึงเธอวันละครั้ง ครั้งละ 24 ชั่วโมง
คุยถูกคอมีทั่วไป แต่ถ้าคุยถูกใจมีเธอคนเดียว
คุยทุกวันแบบนี้ เราเป็นอะไรกันบ้างหรือยัง
เคยเห็นตอนเรามีแฟนหรือยัง ถ้ายังมาเป็นแฟนเราสิ
แค่บ่นว่าอยากเธอ ข้ามกี่สิบอำเภอก็จะไป
กล้องไม่โฟกัส แต่ที่ชัดๆ ก็รักเธอ
กอดหมอนข้างเบื่อแล้ว กอดเธอแทนได้หรือเปล่า
ก่อนเข้าเดือนหน้า ก็อยากเข้าตาเธอก่อน
กินนมทำให้โตไว แต่เรากินเราเข้าไป หัวใจพองโต
กินบะหมี่ให้เลือกเส้น แต่ถ้าอยากมีแฟนขี้เล่นให้เลือกเรา
ขนาดไก่ยังมีเล้า แล้วเธอล่ะไม่มีเราบ้างเหรอ
ข้าวมันไก่ หรือจะสู้ เข้ามาใกล้ๆ หน่อย
ขี้เกียจแอดไปแล้ว ขอเป็นแฟนเลยได้ปะ
แคปหมูอะอร่อย แต่ที่แคปบ่อยๆ อะรูปเธอ
โคโรนาเป็นไวรัส แต่โคตรน่ารักอะเป็นเธอ
งานบวชต้องแห่นาค แต่ถ้าชอบมาก แห่ขันหมากมาขอ
จ้องคอมแล้วตาเบลอ แต่ถ้าจ้องเธอแล้วได้เบอร์ปะ
จ้องเรานานขนาดนี้ ตกหลุมเราเราสักทีได้ไหม
จะเป็นทำไมคนเหงา มาเป็นคนของเราดีกว่า
แค่เธอบ่นว่าอยากเจอ ต่อให้ข้าม80อำเภอก็จะไป
อะไรจะแพง ก็แพงไปเถอะ ขอแค่เธอถูกใจเราก็พอ
เธอคนเดียวที่กินใจ แม้ใคร ๆ จะกินคลีน
มะเร็งกับโควิดไม่รู้ปอดเลือกอะไร แต่หัวใจอ่ะเลือกเธอ
ที่บ้านเธอมีแก้วกี่ใบ เราจะได้เทใจให้หมดเลย
โพสต์รูปไปเธอก็มา “ไลค์” แล้วต้องโพสต์อะไรให้เธอมา “รัก”
งานบวชต้องแห่นาค แต่ถ้าแกชอบเรามากให้เเห่ขันหมากมาขอ
ติดศูนย์ยังมีให้แก้ ติดเธอแทบแย่ไม่รู้จะแก้ยังไง
ถ้าเธออยากฝันดี แนะนำให้ฝันถึงเรา
โคโรน่าอะเป็นไวรัส แต่โคตรน่ารักอะเป็นเธอ
หน้ากากอะ ต้านไวรัส แต่เธอน่ารักอะ เราต้านไม่ไหว
มองรูปเราให้ชินก่อนนะ เดี๋ยวตอนนั่งสบตาจะได้ไม่เขิน
ว่ายน้ำต้องไปที่สระ ไหว้แม่เธอล่ะต้องไปที่ไหน
เธอ ๆ ขอแขนหน่อย “แขนเป็นฟันฉอ” ขอเป็นแฟนฉัน!!
กับข้าววันนี้อร่อย ดีน่ะ พี่ขอซักคำได้มั้ย…คำว่า รัก น่ะ
ถึงพี่จะเฉิ่มเสี่ยว แต่พี่ก็อยากจะเกี่ยวหัวใจนวล
ความรักก็เหมือนกับการกินข้าว เมื่อเรากินข้าวอิ่มเมื่อไรเราก็จะมีความสุข เช่นเดียวกับการมีความรัก เมื่เราสองคนรักกันเราก็จะมีความสุข
วันนี้เลอทั้งวันเลยอะ “เลอทัก รักเธอ” ไงจ๊ะ
ขอโทษที่ฉันไม่มีโอกาสแสดงความรู้สึกของใจได้มากไปกว่าการกล่าวคำว่ารัก
ตอนเรียนเลขอาจารย์สอนให้ผมคิดในใจ พอโตขึ้นมาผมเลยคิดนอกใจใครไม่เป็นเลยครับ
มีคนที่ผมชอบเเต่เขาไม่รู้ผมเลยไปบอกเขาเขากับตบหน้าผมเเล้วบอกว้า เขาก็ชอบผมมานานเเล้วแหมื่อนกัน ผมดีไจมากเเล้วก็เลิกกันอีก3 วันต่อมา55+
ไม่เห็นหน้าเธอ แค่เห็นหลังคาบ้านก็มีความสุขแล้ววววว
เป็นโรคกระเพาะเพราะรักเธอ
รักเธอเพราะเธอเป็นเธอ
ตัวยหนอนยังคิดถึงใบชาแล้วใยเล่าคนธรรมดาอย่างฉันจะไม่คิดถึงเธอ
รักคุณยิ่งกว่าแรพเตอร์ ห่วงใยคุณยิ่งกว่าแบรนด์ซุปไก่ รักคุณยิ่งกว่าการบินไทย ห่วงใยคุณยิ่งกว่ายางมิชชลิน
โอ๊ย !…เจ็บจัง ตกหลุมรักคุณจังเบ้อเร่อเลย หมอบอกผมเป็นโรคไตอ่ะ (ไตหาหัวจาม ตามหาหัวใจไง หาตั้งนานอยู่ที่คุณน่ะเอง)
รักกันน่าน ๆ นะ
นั้งคิดจนหัวหงอก เพียงแค่จะบอกว่ารักเธอ
ถึงจะ เฉิ่ม ก็ รักนะคร้าบบบบ
ถึงหน้าจะเหลี่ยม ก็อยากเข้าไปเยี่ยมในหัวใจเธอ
ถึงน้ำจะเน่า แต่ก็ยังมีเงาจันทร์เสมอนะจ๊ะ…
หนึ่งสัปดาห์ยังมี 7 วัน แต่หนึ่งในใจฉัน มีเธอเพียงคนเดียว
ผู้สาวข่อยซิฮักเจ้าเด้อครับ
กับข้าววันนี้อร่อย ดีน่ะ พี่ขอซักคำได้มั้ย…คำว่า รัก น่ะ
ถึงพี่จะเฉิ่มเสี่ยว แต่พี่ก็อยากจะเกี่ยวหัวใจนวล
ความรักก็เหมือนกับการกินข้าว เมื่อเรากินข้าวอิ่มเมื่อไรเราก็จะมีความสุข เช่นเดียวกับการมีความรัก เมื่เราสองคนรักกันเราก็จะมีความสุข
วันนี้เลอทั้งวันเลยอะ “เลอทัก รักเธอ” ไงจ๊ะ
ขอโทษที่ฉันไม่มีโอกาสแสดงความรู้สึกของใจได้มากไปกว่าการกล่าวคำว่ารัก
ข้าวมันไก่ หรือจะสู้ ข้าวมาใกล้ ๆ หน่อยอยากกอด
ถึงเราจะไม่ใช่นาฬิกา แต่เราก็มีเวลาให้นะ
ถ้าเธอเห็นเราเป็นของเล่น ก็เอาเราไปเล่นที่ห้องสิ
สตอรี่เรายังว่าง อยากเข้ามาอยู่บ้างไหมล่ะ
กล้องไม่โฟกัส เพราะความชัดมันอยู่ที่เธอ
ยืนคนเดียวมันเดียวดาย หากได้เธอมายืนข้างกายก็คงดี
เคยเห็นตอนเรามีแฟนยัง ถ้ายังไม่เคย ก็มาเป็นแฟนเราสิ
ไม่ต้องมีหรอกลักยิ้ม แค่น้องยิ้มพี่ก็รักแล้ว
ไม่ชอบตัวเองเลย เปลี่ยนเป็นชอบเธอแทนได้ไหม
ไม่อยากใช้ของร่วมกับใคร แต่อยากใช้ใจร่วมกับเธอ
เธอก็เหมือนอากาศอะ ไม่สำคัญหรอ ป่าว เราขาดเธอไม่ได้
ช่วงนี้ดูแลตัวเองด้วยนะ ไม่อยากให้เธอเป็นอะไรเลย นอกจากเป็นของเรา
ถ้าเธอชอบอะไรที่น่ารัก ๆ ก็ต้องเป็นเราแล้วล่ะ
จ้องคอมแล้วตาเบลอ แต่ถ้าจ้องเธอแล้วจะได้เบอร์ป่ะ
เธอบ้านเลขที่เท่าไหร่​ไม่ใช่อะไร อยากจะส่งความรักไปให้
ที่ห้องไม่มีแมวหรอก มีแต่เรานี่แหละอ้อนเก่งเหมือนกัน
ฝากเงินได้แค่ดอกเบี้ย แต่ฝากใจกับเราเนี้ย​ได้ทั้งบัญชี
ต้องตัวเล็กขนาดไหน ถึงจะเข้าไปอยู่ในใจเธอได้
จะเปลี่ยนโปรไฟล์เด็กแค่ไหน เราก็จำเธอได้ เพราะความรักไม่กลายรูปตามกาลเวลา
ปลากะพงยังมีก้าง อยากให้เธอรู้ไว้บ้าง คนข้าง ๆ นั้นมีใจ
ไม่อยากรักใครเพิ่ม แต่อยากรักกับคนเดิมไปนาน ๆ
เป็นคนแฟร์ ๆ ถึงดูไม่ค่อยแคร์แต่ก็รักนะ
หากจะถามว่าชอบคนแบบไหน ก็จะรีบบอกไปว่าชอบคนแบบเธอ
เป็นคนตลกแต่ไม่ตลอดแถมมีมุกมาหยอดแล้วยังกอดอุ่นอีก
ต้องใช้น้ำมันสักกี่โรงงานถึงจะทอดสะพานไปถึงใจเธอ
ไม่ต้องเก่งวิชาเคมีมากมาย ก็รู้ว่าตัวทำละลายใจเรา คือเธอ
แม้ทะเลจะมีคลื่นแต่ก็ไม่สดชื่นเท่ามีเธอ
ระยะทางอาจห่างไกล แต่หัวใจไม่ห่างกัน
ประโยคบอกรักเสี่ยว ๆ มีเป็นพัน…แต่เธอคนสำคัญมีคนเดียว
หน้าหนาวทำให้ผมนอนละเมอ แต่หน้าเธอทำให้ผมนอนคิดถึง
ไม่ว่าคุณจะใช้แชมพูยี่ห้ออะไร แต่ผมก็รู้ว่าคุณรัก “ผม”
ความรักของเราเหมือนเส้นขนาน แม้จะไม่มีวันมาบรรจบกัน แต่ก็จะเคียงคู่กันตลอดไป
ในตัวคุณมีแม่เหล็กหรือเปล่าเนี่ย ถึงได้ดึงเอาหัวใจผมไว้ไม่ปล่อยเลย
ผมทำให้คุณได้ทุกอย่าง ยกเว้นแค่เหาะขึ้นไปบนฟ้า กับการไม่รักคุณ
ถ้าเธอเป็นโคลน ฉันจะยอมเป็นควาย จะได้จมปลักรักเธอตลอดไป
ขอโทษครับ กี่โมงแล้วครับ วันเวลาของผม มันหยุดไปหมดเมื่อพบคุณ
คนอื่น ๆ ก็แค่อาหารตา ส่วนเธอคนเดียวนี้หนาคืออาหารใจ
ก็เราอ้วนเป็นหมู แล้ว ยู รักไหม
เคาน์ดาวอะมีแค่สิ้นปี แต่เรารักพี่อะจะมีตลอดไป
ไม่อยากได้ดอกไม้หรือตุ๊กตา แต่อยากได้คนธรรมดาที่อยู่ข้างกันก็พอ
ถ้าชอบคนมีเสน่ห์ต้องพี่ป้าง แต่ถ้าอยากมีคนอยู่ข้าง ๆ ก็เราไง
ถ้าคุณไม่ชอบขนม หันมาชอบผมก็ได้นะ
ผมชอบเลขครับ ชอบบวก ชอบลบ ชอบหาร แล้วก็ชอบคูณ
แค่ก ๆ ๆ ๆ …อาการไอเกิดจากไวรัส อาการรักเกิดจากคุณ
ส่องกระจกจะเจอเงา ค้นใจเราจะเจอเธอ
ไม่มีคำคมมาอ่อย แต่ถ้าคุยไปบ่อย ๆ เธอจะชอบเราเอง
ถึงยังไม่ได้เป็นเจ้าของ แต่ก็อยากจับจองหัวใจ
อยากผอมให้กินผัก อยากรักให้กินเรา
มุกเสี่ยว ๆ มีเป็นร้อย แต่หัวใจดวงน้อย ๆ มีแต่เธอ
อาจจะดูไม่เต็มบาท แต่ความรักมีให้ไม่ขาดนะบอกเลย
ความคิดมาจากการสร้าง ส่วนคนข้าง ๆ มาจากความรัก
ถึงเกรดที่ได้จะต่ำลง แต่ใจที่มั่นคงจะยังไม่เปลี่ยนแปลง
ปีชงอะต้องทำบุญ แต่ปีนี้รักคุณต้องทำไง
อยากเรียนเก่งต้องไปหาครู อยากมีคู่ต้องมาหาเรา
จะสอบต้องใช้สองบี แต่ถ้าอยากมีชีวิตดี ๆ ต้องใช้สองเรานะ
อยากให้คนทั้งโลกหัวล้าน ยกเว้นคุณ    เพราะคุณจะได้มีผมคนเดียว
ที่นี่ที่ไหนเหรอครับ    ใช่ ‘ที่รัก’ หรือเปล่า
อยากมี พาวเวอร์พอยต์ จะได้พรีเซนท์ความรักของฉันที่มีต่อเธอได้
ที่บ้านหนูไม่มีเก้าอี้ ให้หนูไปนั่งในใจพี่จะได้มั้ยคะ
กินอาหารถูกหลัก ถึงจะอกหักแต่ก็ยังแข็งแรง
ความรักก็เหมือนอิเล็กตรอน ได้แค่อยู่รอบ ๆ โปรตรอน แต่เข้าใกล้ไม่ได้
แม้ทะเลจะมีคลื่น แต่ก็คงไม่สดชื่นเท่ามีเธอ
จะพรหมแดนที่มนุษย์สร้างขึ้น หรือจะพรหมแดนที่เกิดขึ้นเองตามธรรมชาติ ก็ไม่มีพรหมแดนไหนมาคั่นหัวใจเราสองให้ห่างไกลกันได้หรอก
ไม่ต้องมีหรอกลักยิ้ม แค่น้องยิ้มพี่ก็รักแล้ว
ยิ้มให้พี่ที… กินข้าวฟรีบอกเลย
ว่ายน้ำต้องไปที่สระ ไหว้แม่เธอล่ะต้องไปที่ไหน
บันไดอาจมีหลายขั้น แต่รักเรานั้นไม่มีหลายใจ
หน้าหนาวต้องยกให้ภาคเหนือ ส่วนน่าฮักปะล้ำปะเหลือ ยกให้เราได้ปะล้ะ
เหงื่อไหลเพราะหน้าร้อน ใจอ่อนเพราะน่ารัก
อ่อยคืออะไรไม่รู้ แต่ห้องเราไม่มีใครอยู่ ประตูก็ไม่ได้ล็อค
กินหมูกระทะจะเจอเนื้อย่าง แต่ถ้าเธอมาอยู่ข้าง ๆ จะเจอเนื้อคู่
ชอบพูดชอบอ่อย ชอบเราหน่อยเราโสด
ถึงสิงจะไปหาคม …แต่ผมก็อยากจะไปหาคุณ
ติดศูนย์ยังมีให้แก้ แต่ติดเธอแทบแย่ไม่รู้จะแก้ยังไง
ล่อยนกปล่อยปลาอะทำได้ แต่ปล่อยเธอไปง่าย ๆ ทำไม่ได้จริง ๆ
ที่ไปเที่ยวเพราะอยากพัก ที่เข้าไปทักเพราะอยากคบ
ถึงผมจะไม่ผอม แต่ถ้าได้หอม จะติดใจ
ไม่อยากได้แฟนเดย์ ขอแฟนออเวย์ได้มั้ย
แดดแรงมันแยงตา เธอส่งยิ้มมา มันแยงใจ
ไม่ชอบตัวเองเลย เปลี่ยนเป็นชอบเธอแทนได้ไหม
กินบะหมี่ให้เลือกเส้น แต่ถ้าอยากมีแฟนขี้เล่นให้เลือกเรา
มองหน้าแล้วทำเฉย ระวังเป็นลูกเขยแม่เรานะ
ฟุตบอลเราชอบอังกฤษ แต่ถ้าพรหมลิขิต เราชอบเธอ
แคปหมูอ่ะอร่อย แต่ที่แคปบ่อย ๆ อ่ะรูปเธอ
แค่แมวก็ชอบร้อง แค่มองก็ชอบแล้ว
ขนาดไก่ยังมีเล้า แล้วเธอเล่าไม่อยากมีเราบ้างหรอ
หน้าร้อนยกให้ไทย น่ารักกว่าใครยกให้เธอ
นอนน้อยอาจมีเบลอ แต่รักที่ให้เธอนั้นชัดเจน
ไม่อยากให้เราเพ้อ ก็เอาเบอร์เธอมาดิ
ถึงเราจะไม่ใช่นาฬิกา แต่เราก็มีเวลาให้นะ
 ถึงพี่จะเสี่ยว แต่ก็อยากเฉี่ยวหัวใจเธอ
ถึงพี่ไม่หล่อ แต่ก็จนหัวใจมันล้นด้วยรักเธอ
ความรักทำให้เกิดความเฉิ่มได้ทุกเมื่อ ทุกเวลา ทุกสถานที่
สายตาเรายาวเพราะเราแอบมองเธออยู่ห่างๆ
คิดถึง ฝันถึง อย่าลืมส่งยิ้มให้พี่ด้วย
ไปทำอะไรอยู่ข้างบนน่ะ ลงมาสิ เพราะเราเอื้อมไม่ถึงเธอนะสิ
ถึงหน้าจะเหลี่ยม ก็อยากเข้าไปเยี่ยมในหัวใจเธอ
ถึงน้ำจะเน่า แต่ก็ยังมีเงาจันทร์เสมอนะจ๊ะ…
หนึ่งสัปดาห์ยังมี 7 วัน แต่หนึ่งในใจฉัน มีเธอเพียงคนเดียว
กาลครั้งหนึ่งมีเต่ากับกระต่ายวิ่งแข่งกันแทบตายเพื่อไปตะโกนที่เส้นชัยว่า”รักเธอ”
หลงทางยังพอหาเจอ หลงเธอซิเหลือทน
วันนี้ร้อนนะครับ ความรักมันรุมเร้าผมหนะ
อยากให้คุณได้ยินเสียงบอกรักจากหัวใจ
ใครว่าข้าบ้าก็ว่าไป ข้าขอบ้า”รัก” เท่านั้นพอ
คลื่นสึนามิยังน้อยกว่าคลื่นหัวใจที่ฉันมีต่อเธอ
ขอเงินหน่อยจะเอาไปโทรบอกแม่ว่าเจอเนื้อคู่แล้ว
 ที่บ้านเธอมีน้ำมันไหม?  จะได้เอามาทอดสะพานรักของเรางัย
ฝนจะตก แดดจะออก แต่ก็ยังไม่หยุดรักคุณ 
ถึงพี่เรียนมาน้อย แต่หัวใจพี่ให้เต็มร้อยนะจะบอกให้
ฉันอยากจะเป็นหมอนให้เธอนอนกอดตลอดทั้งคืน
เดินระวังหน่อยนะครับ!! ผมทำใจละลายไว้ตรงนั้น
อิจฉาปรอท ที่ได้อยู่ใกล้คนไข้ อิจฉาเส้นเลือดใหญ่ ที่อยู่ใกล้ใจเธอ
ตอนเรียนเลขอาจารย์สอนให้ผมคิดในใจ พอโตขึ้นมาผมเลยคิดนอกใจใครไม่เป็นเลยครับ
เป็นโรคกระเพาะเพราะรักเธอ
เดี๋ยวๆ !!!อย่าเพิ่งเดินไปครับ ผมหายใจไม่ออก เพราะคุณคือลมหายใจของผม
ผมว่าคุณหนักขึ้นเยอะเลยนะ… เพราะผมเข้าไปอยู่ในหัวใจของคุณตลอดเวลา
